250 4
4.367	88	4.367	88
2.1	49	2.1	49
4.5	83	4.5	83
4.05	81	4.05	81
1.867	47	1.867	47
4.7	84	4.7	84
1.783	52	1.783	52
4.85	86	4.85	86
3.683	81	3.683	81
4.733	75	4.733	75
2.3	59	2.3	59
4.9	89	4.9	89
4.417	79	4.417	79
1.7	59	1.7	59
4.633	81	4.633	81
2.317	50	2.317	50
4.6	85	4.6	85
1.817	59	1.817	59
4.417	87	4.417	87
2.617	53	2.617	53
4.067	69	4.067	69
4.25	77	4.25	77
1.967	56	1.967	56
4.6	88	4.6	88
3.767	81	3.767	81
1.917	45	1.917	45
4.5	82	4.5	82
2.267	55	2.267	55
4.65	90	4.65	90
1.867	45	1.867	45
4.167	83	4.167	83
2.8	56	2.8	56
4.333	89	4.333	89
1.833	46	1.833	46
4.383	82	4.383	82
1.883	51	1.883	51
4.933	86	4.933	86
2.033	53	2.033	53
3.733	79	3.733	79
4.233	81	4.233	81
2.233	60	2.233	60
4.533	82	4.533	82
4.817	77	4.817	77
4.333	76	4.333	76
1.983	59	1.983	59
4.633	80	4.633	80
2.017	49	2.017	49
5.1	96	5.1	96
1.8	53	1.8	53
5.033	77	5.033	77
4	77	4	77
2.4	65	2.4	65
4.6	81	4.6	81
3.567	71	3.567	71
4	70	4	70
4.5	81	4.5	81
4.083	93	4.083	93
1.8	53	1.8	53
3.967	89	3.967	89
2.2	45	2.2	45
4.15	86	4.15	86
2	58	2	58
3.833	78	3.833	78
3.5	66	3.5	66
4.583	76	4.583	76
2.367	63	2.367	63
5	88	5	88
1.933	52	1.933	52
4.617	93	4.617	93
1.917	49	1.917	49
2.083	57	2.083	57
4.583	77	4.583	77
3.333	68	3.333	68
4.167	81	4.167	81
4.333	81	4.333	81
4.5	73	4.5	73
2.417	50	2.417	50
4	85	4	85
4.167	74	4.167	74
1.883	55	1.883	55
4.583	77	4.583	77
4.25	83	4.25	83
3.767	83	3.767	83
2.033	51	2.033	51
4.433	78	4.433	78
4.083	84	4.083	84
1.833	46	1.833	46
4.417	83	4.417	83
2.183	55	2.183	55
4.8	81	4.8	81
1.833	57	1.833	57
4.8	76	4.8	76
4.1	84	4.1	84
3.966	77	3.966	77
4.233	81	4.233	81
3.5	87	3.5	87
4.366	77	4.366	77
2.25	51	2.25	51
4.667	78	4.667	78
2.1	60	2.1	60
4.35	82	4.35	82
4.133	91	4.133	91
1.867	53	1.867	53
4.6	78	4.6	78
1.783	46	1.783	46
4.367	77	4.367	77
3.85	84	3.85	84
1.933	49	1.933	49
4.5	83	4.5	83
2.383	71	2.383	71
4.7	80	4.7	80
1.867	49	1.867	49
3.833	75	3.833	75
3.417	64	3.417	64
4.233	76	4.233	76
2.4	53	2.4	53
4.8	94	4.8	94
2	55	2	55
4.15	76	4.15	76
1.867	50	1.867	50
4.267	82	4.267	82
1.75	54	1.75	54
4.483	75	4.483	75
4	78	4	78
4.117	79	4.117	79
4.083	78	4.083	78
4.267	78	4.267	78
3.917	70	3.917	70
4.55	79	4.55	79
4.083	70	4.083	70
2.417	54	2.417	54
4.183	86	4.183	86
2.217	50	2.217	50
4.45	90	4.45	90
1.883	54	1.883	54
1.85	54	1.85	54
4.283	77	4.283	77
3.95	79	3.95	79
2.333	64	2.333	64
4.15	75	4.15	75
2.35	47	2.35	47
4.933	86	4.933	86
2.9	63	2.9	63
4.583	85	4.583	85
3.833	82	3.833	82
2.083	57	2.083	57
4.367	82	4.367	82
2.133	67	2.133	67
4.35	74	4.35	74
